"","2.5 percentile","5 percentile","10 percentile","15 percentile","20 percentile","25 percentile","30 percentile","35 percentile","40 percentile","45 percentile","50 percentile","55 percentile","60 percentile","65 percentile","70 percentile","75 percentile","80 percentile","85 percentile","90 percentile","95 percentile","97.5 percentile","ConfirmedCases"
"2020-01-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2020-01-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-01-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-01-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-01-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-01-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-01-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"2020-02-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"2020-02-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"2020-02-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"2020-02-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0
"2020-02-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0
"2020-02-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0
"2020-02-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0
"2020-02-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0
"2020-02-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0
"2020-02-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0
"2020-02-18",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,0
"2020-02-19",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,0
"2020-02-20",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,0
"2020-02-21",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,0
"2020-02-22",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,0
"2020-02-23",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,4,0
"2020-02-24",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,4,0
"2020-02-25",0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,4,4,0
"2020-02-26",0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,4,5,0
"2020-02-27",0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,4,4,5,0
"2020-02-28",0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,4,5,6,0
"2020-02-29",0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,4,4,5,6,0
"2020-03-01",0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,4,4,5,6,7,1
"2020-03-02",0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,4,5,5,7,8,0
"2020-03-03",0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,4,4,5,6,7,9,0
"2020-03-04",0,0,0,1,1,1,1,2,2,2,2,3,3,3,4,4,5,6,7,8,10,1
"2020-03-05",0,0,0,1,1,1,2,2,2,2,3,3,4,4,4,5,5,6,7,9,11,2
"2020-03-06",0,0,1,1,1,2,2,2,2,3,3,4,4,4,5,5,6,7,8,10,12,0
"2020-03-07",0,0,1,1,1,2,2,2,3,3,4,4,4,5,6,6,7,8,9,11,13,0
"2020-03-08",0,0,1,1,2,2,2,3,3,4,4,5,5,6,6,7,8,9,10,12,15,0
"2020-03-09",0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,8,9,10,11,14,16,3
"2020-03-10",0,1,1,2,2,3,3,4,4,5,5,6,6,7,8,9,10,11,13,15,18,0
"2020-03-11",0,1,1,2,3,3,4,4,5,5,6,7,7,8,9,10,11,12,14,17,20,0
"2020-03-12",0,1,2,2,3,4,4,5,5,6,7,7,8,9,10,11,12,14,16,19,23,1
"2020-03-13",1,1,2,3,4,4,5,5,6,7,8,8,9,10,11,12,14,15,18,21,25,0
"2020-03-14",1,1,2,3,4,5,6,6,7,8,9,9,10,11,12,14,15,17,20,24,28,4
"2020-03-15",1,2,3,4,5,5,6,7,8,9,10,11,12,13,14,15,17,19,22,27,32,1
"2020-03-16",1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,19,22,25,30,35,5
"2020-03-17",1,2,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,28,34,40,13
"2020-03-18",2,3,4,6,7,8,9,10,11,13,14,15,17,18,20,22,24,27,31,38,44,12
"2020-03-19",2,3,5,6,8,9,10,12,13,14,16,17,19,21,23,25,27,31,35,43,50,19
"2020-03-20",2,4,6,7,9,10,12,13,15,16,18,19,21,23,25,28,31,34,40,48,56,34
"2020-03-21",3,4,7,8,10,12,13,15,17,18,20,22,24,26,29,31,35,39,45,54,63,59
"2020-03-22",3,5,7,10,11,13,15,17,19,21,23,25,27,29,32,35,39,44,50,61,71,65
"2020-03-23",4,6,8,11,13,15,17,19,21,23,25,28,30,33,36,40,44,49,56,68,80,53
"2020-03-24",4,6,10,12,15,17,19,22,24,26,29,31,34,37,41,45,49,55,63,77,89,60
