"","2.5 percentile","5 percentile","10 percentile","15 percentile","20 percentile","25 percentile","30 percentile","35 percentile","40 percentile","45 percentile","50 percentile","55 percentile","60 percentile","65 percentile","70 percentile","75 percentile","80 percentile","85 percentile","90 percentile","95 percentile","97.5 percentile","ConfirmedCases"
"2020-01-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-01-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-01-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-01-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-01-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"2020-02-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"2020-02-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"2020-02-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0
"2020-02-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0
"2020-02-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0
"2020-02-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0
"2020-02-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0
"2020-02-15",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,0
"2020-02-16",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,0
"2020-02-17",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,0
"2020-02-18",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,0
"2020-02-19",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,3,0
"2020-02-20",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,4,0
"2020-02-21",0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,4,0
"2020-02-22",0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,0
"2020-02-23",0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,5,0
"2020-02-24",0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,5,5,0
"2020-02-25",0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,5,6,0
"2020-02-26",0,0,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,5,6,7,0
"2020-02-27",0,0,1,1,1,2,2,2,2,3,3,3,3,4,4,4,5,5,6,7,8,0
"2020-02-28",0,1,1,1,2,2,2,2,3,3,3,4,4,4,4,5,5,6,6,7,8,0
"2020-02-29",0,1,1,2,2,2,3,3,3,3,4,4,4,5,5,5,6,7,7,8,10,0
"2020-03-01",1,1,2,2,2,3,3,4,4,4,4,5,5,5,6,6,7,7,8,9,11,0
"2020-03-02",1,1,2,3,3,3,4,4,4,5,5,6,6,6,7,7,8,9,9,11,12,0
"2020-03-03",1,2,3,3,4,4,5,5,5,6,6,6,7,7,8,8,9,10,11,12,14,3
"2020-03-04",2,2,3,4,4,5,5,6,6,7,7,8,8,8,9,10,10,11,12,14,15,0
"2020-03-05",2,3,4,5,5,6,6,7,7,8,8,9,9,10,10,11,12,13,14,16,18,2
"2020-03-06",3,4,5,6,6,7,7,8,9,9,10,10,11,11,12,13,14,15,16,18,20,2
"2020-03-07",4,5,6,7,7,8,9,9,10,11,11,12,12,13,14,15,16,17,18,21,23,6
"2020-03-08",5,6,7,8,9,10,10,11,12,12,13,14,14,15,16,17,18,19,21,24,26,5
"2020-03-09",6,7,8,9,10,11,12,13,14,14,15,16,17,18,19,20,21,22,24,27,30,11
"2020-03-10",7,8,10,11,12,13,14,15,16,17,18,19,19,20,22,23,24,26,28,31,34,2
"2020-03-11",8,10,12,13,14,16,17,18,19,20,21,22,23,24,25,26,28,30,32,36,39,10
"2020-03-12",10,12,14,15,17,18,19,20,22,23,24,25,26,27,29,30,32,34,37,41,45,21
"2020-03-13",12,14,16,18,20,21,22,24,25,26,27,29,30,31,33,35,37,39,42,47,51,5
"2020-03-14",14,16,19,21,23,24,26,27,28,30,31,33,34,36,38,39,42,44,48,53,58,13
"2020-03-15",16,18,22,24,26,28,29,31,33,34,36,37,39,41,43,45,47,50,54,60,66,30
"2020-03-16",18,21,25,28,30,32,34,35,37,39,41,42,44,46,49,51,54,57,61,68,75,23
"2020-03-17",21,24,28,31,34,36,38,40,42,44,46,48,50,53,55,58,61,65,70,77,84,23
"2020-03-18",24,28,32,36,39,41,43,46,48,50,52,55,57,60,62,65,69,73,79,87,95,63
"2020-03-19",28,32,37,41,44,47,49,52,54,57,59,62,64,67,70,74,78,82,89,98,108,50
"2020-03-20",31,36,42,46,50,53,56,59,61,64,67,70,73,76,79,83,87,93,100,110,120,67
"2020-03-21",36,41,47,52,56,59,63,66,69,72,75,78,82,85,89,93,98,104,112,124,135,60
"2020-03-22",40,46,53,58,63,67,70,74,77,81,84,88,92,95,100,104,110,116,125,138,150,67
"2020-03-23",45,52,60,66,71,75,79,83,87,90,94,98,102,107,111,117,123,130,140,154,168,141
"2020-03-24",51,58,67,73,79,84,88,92,97,101,105,109,114,119,124,130,137,145,156,172,187,241
