"","2.5 percentile","5 percentile","10 percentile","15 percentile","20 percentile","25 percentile","30 percentile","35 percentile","40 percentile","45 percentile","50 percentile","55 percentile","60 percentile","65 percentile","70 percentile","75 percentile","80 percentile","85 percentile","90 percentile","95 percentile","97.5 percentile","ConfirmedCases"
"2020-01-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-02-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-02-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"2020-02-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"2020-02-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0
"2020-02-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0
"2020-02-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0
"2020-02-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0
"2020-02-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0
"2020-03-01",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,0
"2020-03-02",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,1
"2020-03-03",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,4
"2020-03-04",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,3
"2020-03-05",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,4,5,0
"2020-03-06",0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,4,5,6,4
"2020-03-07",0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,4,6,7,0
"2020-03-08",0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,4,4,5,7,8,2
"2020-03-09",0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,4,4,5,6,8,10,0
"2020-03-10",0,0,0,0,1,1,1,1,2,2,2,3,3,3,4,4,5,6,7,9,11,2
"2020-03-11",0,0,0,0,1,1,1,2,2,2,3,3,4,4,5,5,6,7,9,11,13,5
"2020-03-12",0,0,0,1,1,1,2,2,3,3,3,4,5,5,6,7,8,9,11,14,17,3
"2020-03-13",0,0,1,1,1,2,2,3,3,4,4,5,6,7,7,8,9,11,13,17,20,2
"2020-03-14",0,0,1,1,2,2,3,3,4,5,5,6,7,8,9,10,11,13,16,20,24,2
"2020-03-15",0,0,1,2,2,3,4,4,5,6,7,8,9,10,11,12,14,16,19,24,29,4
"2020-03-16",0,0,1,2,3,4,4,5,6,7,8,9,10,11,13,15,17,19,23,29,35,19
"2020-03-17",0,1,2,3,4,5,6,7,8,9,10,11,12,14,16,18,20,23,28,34,42.0249999999996,14
"2020-03-18",0,1,2,4,5,6,7,8,9,11,12,14,15,17,19,22,25,29,35,44,53,34
"2020-03-19",1,1,3,4,6,7,9,10,12,13,15,17,19,22,24,27,31,36,42,53,64,24
"2020-03-20",1,2,4,6,7,9,10,12,14,16,18,20,23,26,29,33,37,43,52,64,77,18
"2020-03-21",1,3,5,7,9,11,13,16,18,20,23,26,29,32,35,40,45,52,62,77,94,27
"2020-03-22",2,3,6,8,11,13,16,19,21,25,28,31,35,40,45,50,57,65,78,97,116.025,61
"2020-03-23",2,4,7,10,13,16,19,23,26,30,34,38,43,48,53,60,67,77,92,117,146,78
"2020-03-24",3,5,9,13,17,20,24,28,32,37,41,46,52,58,65,73,83,96,114,142,169.025,77
