"","2.5 percentile","5 percentile","10 percentile","15 percentile","20 percentile","25 percentile","30 percentile","35 percentile","40 percentile","45 percentile","50 percentile","55 percentile","60 percentile","65 percentile","70 percentile","75 percentile","80 percentile","85 percentile","90 percentile","95 percentile","97.5 percentile","ConfirmedCases"
"2020-01-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-02-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2020-02-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"2020-02-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"2020-02-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"2020-02-19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"2020-02-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0
"2020-02-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0
"2020-02-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0
"2020-02-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0
"2020-02-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,0
"2020-02-25",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,0
"2020-02-26",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,0
"2020-02-27",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,0
"2020-02-28",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,4,0
"2020-02-29",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,4,5,0
"2020-03-01",0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,4,5,0
"2020-03-02",0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,4,5,6,1
"2020-03-03",0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,4,5,7,4
"2020-03-04",0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,4,5,6,8,3
"2020-03-05",0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,4,4,5,7,9,0
"2020-03-06",0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,4,4,5,6,8,10,4
"2020-03-07",0,0,0,0,1,1,1,1,2,2,2,3,3,3,4,4,5,6,7,9,11,0
"2020-03-08",0,0,0,0,1,1,1,2,2,2,3,3,3,4,5,5,6,7,8,11,13,2
"2020-03-09",0,0,0,1,1,1,2,2,2,3,3,4,4,5,5,6,7,8,10,12,15,0
"2020-03-10",0,0,0,1,1,1,2,2,3,3,4,4,5,6,6,7,8,9,11,15,18,2
"2020-03-11",0,0,1,1,1,2,2,3,3,4,4,5,6,6,7,8,9,11,13,17,20,5
"2020-03-12",0,0,1,1,2,2,3,3,4,5,5,6,7,8,9,10,11,13,15,20,24,3
"2020-03-13",0,0,1,2,2,3,3,4,5,5,6,7,8,9,10,12,13,15,18,23,28,2
"2020-03-14",0,0,1,2,3,4,4,5,6,6,7,8,9,11,12,14,16,18,21,27,32,2
"2020-03-15",0,1,2,2,3,4,5,6,6,7.55000000000018,8,10,11,12,14,16,18,21,25,32,39,4
"2020-03-16",0,1,2,3,4,5,5,6,7.59999999999991,9,10,11,13,14,16,18,20,24,28,35.0500000000002,43,19
"2020-03-17",0,1,2,4,5,6,7,8,9,11,12,13,15,17,19,22,25,29,33,43,50,14
"2020-03-18",1,1,3,4,6,7,8,10,11,13,14,16,18,20,22,25,29,33,40,50,59,34
"2020-03-19",1,2,4,5,6,8,9,11,13,14,16,18,21,23,26,30,34,39,46,57,69,24
"2020-03-20",1,2,4,6,8,10,11,13,15,17,19,21.4500000000003,24,27,30,34,39,45,53,68,83,18
"2020-03-21",2,3,5,7,9,11,13,16,18,20,23,25,28,32,36,41,46,53.1499999999996,63,81,97,27
"2020-03-22",2,3,6,9,11,13,15,18,21,24,27,29.4500000000003,33,37,42,48,54,62,74,93,116,61
"2020-03-23",2,4,7,10,12,16,18,21,24,28,31,35,39,44,49,55,62,73,87,110.05,132,78
"2020-03-24",3,5,9,12,15,18,22,26,30,34,38,43,48,53,60,67,76,88,102,128,152,77
